time,chamber_pressure_psia,chamber_temperature_C,fuel_pressure_psia,oxid_pressure_psia,fuel_line_drop_psia,fuel_bv_drop_psia,fuel_injector_drop_psia,oxid_line_drop_psia,oxid_bv_drop_psia,oxid_injector_drop_psia,fuel_volumetric_gpm,oxid_volumetric_gpm,fuel_line_velocity_mps,oxid_line_velocity_mps,fuel_injector_velocity_mps,oxid_injector_velocity_mps,fuel_line_reynolds_Re,oxid_line_reynolds_Re,fuel_volume_gal,oxid_volume_gal,throat_diameter_inches,thrust_lbf,exit_velocity_m_s,exit_pressure_psia,o_f_ratio,t_time_s
0.011,363.73544738323,2937.62078324065,574.088184659608,574.071839346028,11.1350452538468,2.20365473319769,198.940813358431,5.7938788609923,3.36481868740234,199.250919948005,9.27435282007671,9.44083638646162,6.24527867728221,6.35738744513185,4.41808233721077,4.49668958214452,36710.7257510616,11295607.9234036,0.998298652510609,0.998268111684398,1.24,747.731228414175,2933.89478417571,15.7151103811749,1.5,0.011
0.012,363.696601703879,2937.61069105629,574.005470698221,573.987644885394,11.1325548228964,2.20318840372017,198.898714220053,5.79259451036267,3.36410663659111,199.208755185987,9.27337146558656,9.43983741571311,6.24461784062966,6.35671474582485,4.41761484314153,4.49621377034419,36706.8412497653,11294412.6922355,0.998144088141961,0.998110772736454,1.24,747.650734688875,2933.88939458086,15.7134571307776,1.5,0.012
0.013,363.657767554869,2937.60060186752,573.922785912633,573.90348049546,11.1300654196118,2.20272226324768,198.856632144608,5.79131068781656,3.36339487437665,199.1666075135,9.27239040504326,9.43883874418809,6.24395720191869,6.35604224801268,4.41714748910162,4.49573810106461,36702.9579120005,11293217.8190771,0.997989540126773,0.997953450435528,1.24,747.570265361992,2933.88400659028,15.7118043657975,1.5,0.013
0.014,363.618944930511,2937.59051567289,573.840130286597,573.819346159308,11.1275770433691,2.20225631166648,198.814567121829,5.79002739303394,3.36268340058531,199.12447692026,9.27140963830072,9.43784037173781,6.24329676105091,6.35536995159516,4.41668027502143,4.49526257423495,36699.075737189,11292023.3037505,0.997835008460144,0.997796144776635,1.24,747.489820421286,2933.87862020319,15.7101520859972,1.5,0.014
0.015,363.580133825118,2937.5804324709,573.757503803881,573.735241860034,11.125089693545,2.20179054886292,198.772519141455,5.78874462569506,3.36197221504354,199.082363395992,9.27042916521292,9.43684229821367,6.242636517928,6.35469785647224,4.41621320083142,4.49478718978441,36695.1947247528,11290829.1460778,0.997680493137181,0.997638855754792,1.24,747.409399854523,2933.87323541877,15.7085002911395,1.5,0.015
0.016,363.541334233008,2937.57035226009,573.674906448263,573.651167580746,11.1226033695165,2.20132497472346,198.730488193236,5.7874623854804,3.36126131757796,199.040266930427,9.26944898563396,9.43584452346714,6.24197647245171,6.35402596254388,4.41574626646208,4.49431194764225,36691.3148741144,11289635.3458813,0.99752599415299,0.997481583365018,1.24,747.329003649477,2933.86785223624,15.7068489809872,1.5,0.016
0.017,363.502546148504,2937.56027503898,573.592338203536,573.567123304565,11.1201180706615,2.20085958913461,198.688474266927,5.7861806720707,3.3605507080153,198.998187513307,9.26846909941804,9.4348470473498,6.24131662452386,6.35335426971015,4.41527947184395,4.49383684773778,36687.4361846966,11288441.9029836,0.99737151150268,0.997324327602334,1.24,747.248631793934,2933.86247065482,15.7051981553032,1.5,0.017
0.018,363.463769565932,2937.55020080609,573.509799053502,573.483109014625,11.1176337963579,2.20039439198301,198.646477352294,5.78489948514698,3.35984038618246,198.956125134379,9.26748950641946,9.43384986971333,6.24065697404635,6.35268277787117,4.41481281690762,4.49336189000036,36683.5586559228,11287248.817207,0.997217045181364,0.997167088461764,1.24,747.168284275684,2933.85709067371,15.703547813851,1.5,0.018
0.019,363.42500447962,2937.54012955995,573.427288981978,573.399124694074,11.1151505459846,2.19992938315536,198.604497439108,5.78361882439048,3.35913035190645,198.9140797834,9.26651020649262,9.43285299040952,6.23999752092111,6.35201148692714,4.41434630158375,4.4928870743594,36679.6822872165,11286056.0883743,0.997062595184155,0.997009865938336,1.24,747.087961082528,2933.85171229211,15.7018979563938,1.5,0.019
0.02,363.386250883904,2937.53006129909,573.344807972792,573.315170326072,11.1126683189205,2.19946456253848,198.562534517152,5.78233868948272,3.35842060501443,198.872051450137,9.26553119949202,9.43185640929026,6.23933826505017,6.35134039677831,4.41387992580301,4.49241240074434,36675.807078002,11284863.7163083,0.99690816150617,0.996852660027077,1.24,747.007662202277,2933.84633550924,15.7002485826952,1.5,0.02
0.021,363.34750877312,2937.51999602204,573.262356009784,573.23124589379,11.1101871145455,2.19899993001926,198.520588576214,5.78105908010548,3.3577111453337,198.830040124362,9.26455248527227,9.43086012620754,6.23867920633564,6.35066950732502,4.41341368949614,4.49193786908469,36671.9330277036,11283671.7008319,0.996753744142528,0.99669547072302,1.24,746.927387622748,2933.84096032432,15.6985996925188,1.5,0.021
0.022,363.30877814161,2937.50993372733,573.179933076808,573.147351380416,11.1077069322395,2.19853548548468,198.478659606091,5.77977999594078,3.3570019726917,198.788045795856,9.26357406368808,9.42986414101347,6.23802034467966,6.34999881846769,4.41294759259392,4.49146347931001,36668.0601357463,11282480.0417681,0.996599343088352,0.996538298021198,1.24,746.847137331768,2933.83558673654,15.6969512856285,1.5,0.022
